id,name_tr,name_en,category,sub_category,city,district,neighbourhood,address,region_id,summary_tr,summary_en,opening_hours,ticket_required,website,main_image_url,is_unesco,protection_status,source_name,source_url,last_update,lon,lat
TR-Afyonkarahisar-0001,Afyon Kalesi,Afyon Castle,Historical Site,Castle,Afyonkarahisar,Merkez,Dumlupınar,"Dumlupınar, Kale Yolu, 03000 Afyonkarahisar Merkez/Afyonkarahisar",TR-WEST,"Afyonkarahisar şehir merkezinde bulunan volkanik bir kaya kütlesi üzerinde yer alan tarihi kaledir. Hititler tarafından 'Hapanuva' adıyla kullanıldığı düşünülmektedir. Kale, tarih boyunca çeşitli medeniyetlere ev sahipliği yapmıştır ve günümüzde turistik bir cazibe merkezidir.",Afyon Castle is a historical castle located on a volcanic rock mass in the city center of Afyonkarahisar. It is believed to have been used by the Hittites under the name 'Hapanuva'. The castle has been home to various civilizations throughout history and is now a tourist attraction.,24/7,FALSE,,,FALSE,Archaeological Site,Wikipedia,https://tr.wikipedia.org/wiki/Afyon_Kalesi,2025-12-18,30.5308973,38.7549969
TR-Afyonkarahisar-0001,Frig Vadisi,Phrygian Valley,Historical Site,Ancient City,Afyonkarahisar,İhsaniye,,,TR-WEST,"Frig Vadisi, Türkiye'nin batısında, Afyonkarahisar, Kütahya ve Eskişehir illeri arasında yer alan, Frigler döneminden kalma kaya oyma yerleşimleri, anıt mezarları ve dini yapılarıyla ünlü bir bölgedir. Doğal güzellikleri ve tarihi zenginlikleriyle dikkat çeker.","The Phrygian Valley is a region located in western Turkey, between the provinces of Afyonkarahisar, Kütahya, and Eskişehir. It is famous for its rock-cut settlements, monumental tombs, and religious structures dating back to the Phrygian period. It attracts attention with its natural beauty and historical richness.",24/7,FALSE,,,FALSE,Archaeological Site,Wikipedia,https://tr.wikipedia.org/wiki/Frig_Vadisi,2025-12-18,30.416788,39.031881
TR-Afyonkarahisar-0001,Afyon Ulu Camii,Afyon Grand Mosque,Historical Site,Mosque,Afyonkarahisar,Merkez,Ulu Cami,"Ulu Cami Mahallesi, Kurtuluş Caddesi, Afyonkarahisar",TR-WEST,"Afyon Ulu Camii, Afyonkarahisar'da bulunan tarihi bir camidir. Selçuklu dönemine ait önemli bir yapıdır ve ahşap işçiliği ile dikkat çeker.",Afyon Grand Mosque is a historical mosque located in Afyonkarahisar. It is an important Seljuk-era structure and stands out with its woodwork.,24/7,FALSE,,,FALSE,Cultural Property,Wikipedia,https://tr.wikipedia.org/wiki/Afyon_Ulu_Camii,2025-12-18,30.548711,38.7493073
TR-Afyonkarahisar-0001,Afyon Mevlevihanesi,Afyon Mevlevi Monastery,Historical Site,Monastery,Afyonkarahisar,Merkez,Dumlupınar,"Dumlupınar, Türbe Cd. No:1, 03200 Afyonkarahisar Merkez/Afyonkarahisar",TR-WEST,"Afyon Mevlevihanesi, Afyonkarahisar'da bulunan tarihi bir Mevlevi tekkesidir. 13. yüzyılda kurulduğu tahmin edilmektedir. Günümüzde müze olarak hizmet vermektedir.","Afyon Mevlevi Monastery is a historical Mevlevi tekke (lodge) located in Afyonkarahisar. It is estimated to have been founded in the 13th century. Today, it serves as a museum.",08:30 - 17:30,TRUE,https://afyonkarahisar.ktb.gov.tr/TR-77707/afyonkarahisar-mevlevihanesi.html,,FALSE,Cultural Property,Wikipedia,https://tr.wikipedia.org/wiki/Afyon_Mevlevihanesi,2025-12-18,30.530168,38.7551823
TR-Afyonkarahisar-0001,Kırkgöz Köprüsü,Kırkgöz Bridge,Historical Site,Bridge,Afyonkarahisar,Bolvadin,,"Bolvadin, Afyonkarahisar, Türkiye",TR-WEST,"Kırkgöz Köprüsü, Afyonkarahisar'ın Bolvadin ilçesinde bulunan tarihi bir köprüdür. Köprü, ilçe merkezine yakın bir konumda yer alır ve Bolvadin Çayı üzerinde bulunmaktadır. Roma döneminde yapıldığı tahmin edilmektedir.",Kırkgöz Bridge is a historical bridge located in the Bolvadin district of Afyonkarahisar. The bridge is located close to the town center and is on the Bolvadin Stream. It is estimated to have been built in the Roman period.,24/7,FALSE,,,FALSE,Historical monument,Wikipedia,https://tr.wikipedia.org/wiki/K%C4%B1rkg%C3%B6z_K%C3%B6pr%C3%BCs%C3%BC_(Bolvadin),2025-12-18,31.0484,38.7126
TR-Aydin-0001,Afrodisias Antik Kenti,Aphrodisias Ancient City,Historical Site,Ancient City,Aydın,Karacasu,Geyre,"Geyre Mahallesi, Karacasu, Aydın, Türkiye",TR-WEST,"Afrodisias, Aydın'ın Karacasu ilçesinde bulunan antik bir kenttir. Adını aşk ve güzellik tanrıçası Afrodit'ten almıştır. Kent, özellikle Roma döneminde önemli bir sanat ve kültür merkezi olmuştur.","Aphrodisias was an ancient Greek city in the historic Caria (Asia Minor). It is located near the modern village of Geyre, Turkey, about 230 km south-east of İzmir. Named after Aphrodite, the Greek goddess of love, it was a center of sculpture and had a prominent school of sculptors.",08:30 - 17:30,TRUE,https://muze.gov.tr/muze-detay?SectionId=AFD01&DistId=AFD,,TRUE,Archaeological Site,Wikipedia,https://en.wikipedia.org/wiki/Aphrodisias,2025-12-18,28.607231,37.729068
TR-Aydın-0001,Milet Antik Kenti,Ancient City of Miletus,Historical Site,Ancient City,Aydın,Didim,Balat,"Balat, Didim, Aydın, Türkiye",TR-WEST,"Milet, Aydın ilinin Didim ilçesi yakınlarında bulunan antik bir kenttir. Tarihi MÖ 3000'lere kadar uzanmaktadır ve İyonya'nın önemli bir liman kenti olmuştur. Felsefe, bilim ve sanat alanlarında önemli gelişmelere ev sahipliği yapmıştır.","Miletus was an ancient Greek city on the western coast of Anatolia, near the mouth of the Maeander River in ancient Caria. Its ruins are located near the modern village of Balat in Didim District, Aydın Province, Turkey. Before the Persian rule in the middle of the 6th century BC, Miletus was considered one of the greatest and richest Greek cities.",08:30 - 17:30,TRUE,https://muze.gov.tr/mekanlar/milet-orenyeri,,FALSE,Archaeological Site,Wikipedia,https://tr.wikipedia.org/wiki/Milet,2025-12-18,27.264729,37.376094
TR-Aydın-0001,Didyma Apollon Tapınağı,Temple of Apollo in Didyma,Historical Site,Ancient City,Aydın,Didim,Hisar,"Hisar Mahallesi, Didim, Aydın, Türkiye",TR-WEST,"Didyma Apollon Tapınağı, antik dönemde önemli bir kehanet merkeziydi. MÖ 8. yüzyılda kurulduğu tahmin edilen tapınak, özellikle Helenistik ve Roma dönemlerinde büyük bir öneme sahipti. Tanrı Apollon'a adanmış olan bu yapı, devasa boyutları ve etkileyici mimarisiyle dikkat çekmektedir. Tapınak, antik dünyanın en büyük dördüncü tapınağı olarak bilinir.","The Temple of Apollo in Didyma was an important prophecy center in ancient times. Believed to have been founded in the 8th century BC, the temple was of great importance, especially during the Hellenistic and Roman periods. Dedicated to the god Apollo, this structure is remarkable for its enormous size and impressive architecture. The temple is known as the fourth largest temple in the ancient world.",08:30 - 17:30,TRUE,https://muze.gov.tr/muze-detay?SectionId=DYM01&DistId=DYM,,TRUE,Archaeological Site,Wikipedia,https://en.wikipedia.org/wiki/Didyma,2025-12-18,27.264729,37.376094
TR-Aydın-0001,Tralleis Antik Kenti,Ancient City of Tralleis,Historical Site,Ancient City,Aydın,Efeler,Kemer,"Kemer Mahallesi, Tralleis Bulvarı, Aydın",TR-WEST,"Tralleis, Aydın şehir merkezinin yaklaşık 1 km kuzeydoğusunda yer alan antik bir kenttir. Tarihi MÖ 3. bin yıla kadar uzanmaktadır ve birçok medeniyete ev sahipliği yapmıştır. Özellikle Roma döneminde önemli bir merkez olmuştur.","Tralleis is an ancient city located approximately 1 km northeast of the city center of Aydın. Its history dates back to the 3rd millennium BC and has been home to many civilizations. It was an important center, especially during the Roman period.",24/7,FALSE,,,FALSE,Archaeological Site,Wikipedia,https://tr.wikipedia.org/wiki/Tralleis,2025-12-18,27.8725806,37.8396527
TR-Aydın-0005,Priene Antik Kenti,Ancient City of Priene,Historical Site,Ancient City,Aydın,Söke,Güllübahçe,"Güllübahçe Mahallesi, Söke, Aydın, Türkiye",TR-WEST,"Priene, İyonya bölgesinde yer alan antik bir şehirdir. Helenistik dönemde önemli bir kültür ve sanat merkezi olmuştur. Athena Tapınağı ve tiyatrosu en önemli yapılarındandır.","Priene was an ancient Greek city of Ionia, located at the base of an escarpment of Mycale. It was an important center of culture and art during the Hellenistic period. The Temple of Athena and its theater are among its most important structures.","08:30 - 17:30 (Winter), 08:30 - 19:00 (Summer)",TRUE,https://muze.gov.tr/mekanlar/mekan/priene-oren-yeri,,FALSE,Archaeological Site,"Wikipedia, Muze.gov.tr",https://en.wikipedia.org/wiki/Priene,2025-12-18,27.405666,37.751961
TR-Aydın-0012,Heraion-Teikhos Antik Kenti,Heraion-Teikhos Ancient City,Historical Site,Ancient City,Aydın,Söke,,"Söke, Aydın, Türkiye",TR-WEST,"Heraion-Teikhos, Aydın'ın Söke ilçesi yakınlarında bulunan antik bir kenttir. Kentin tarihi, MÖ 8. yüzyıla kadar uzanmaktadır ve İyon yerleşimlerinden biridir. Özellikle Athena Tapınağı ile bilinir.",Heraion-Teikhos is an ancient city located near the Söke district of Aydın. The city's history dates back to the 8th century BC and is one of the Ionian settlements. It is particularly known for the Temple of Athena.,24/7,FALSE,,,FALSE,Archaeological Site,Wikipedia,https://tr.wikipedia.org/wiki/Heraion_Teikhos,2025-12-18,27.405666,37.751961
TR-Balikesir-0001,Antandros Antik Kenti,Antandros Ancient City,Historical Site,Ancient City,Balıkesir,Edremit,Altınoluk,"Altınoluk, Edremit, Balıkesir, Türkiye",TR-WEST,"Antandros, Balıkesir'in Altınoluk beldesinde yer alan antik bir kenttir. MÖ 10. yüzyılda kurulduğu tahmin edilmektedir. Kent, Mysia ve Troas bölgelerinin kesişim noktasında stratejik bir konuma sahipti.",Antandros is an ancient city located in the Altınoluk district of Balıkesir. It is estimated to have been founded in the 10th century BC. The city had a strategic location at the intersection of the Mysia and Troas regions.,24/7,FALSE,,,FALSE,Archaeological Site,Wikipedia,https://tr.wikipedia.org/wiki/Antandros,2025-12-18,26.7472678,39.5781748
TR-Balikesir-0001,Kyzikos Antik Kenti,Ancient City of Cyzicus,Historical Site,Ancient City,Balıkesir,Erdek,,"Erdek, Balıkesir, Türkiye",TR-WEST,"Kyzikos, Balıkesir'e bağlı Erdek ilçesinde bulunan antik bir kenttir. MÖ 7. yüzyılda Miletoslular tarafından kurulmuştur. Tarihi boyunca önemli bir ticaret ve kültür merkezi olmuştur. Günümüzde antik kentin kalıntıları ziyaret edilebilmektedir.","Cyzicus was an ancient Greek town in Mysia, located on the shore of Propontis (present-day Sea of Marmara) in present-day Turkey. It was founded by colonists from Miletus in the 7th century BC and became an important trading center. Today, the ruins of the ancient city can be visited.",24/7,FALSE,,,FALSE,Archaeological Site,Wikipedia,https://en.wikipedia.org/wiki/Cyzicus,2025-12-18,27.791673,40.39832
TR-Balikesir-0001,Zağnos Paşa Camii,Zağnos Pasha Mosque,Historical Site,Mosque,Balıkesir,Karesi,Paşa Alanı,"Paşa Alanı Mahallesi, Zağnos Paşa Camii Sk. No:2, 10050 Karesi/Balıkesir",TR-WEST,"Zağnos Paşa Camii, Balıkesir'de bulunan tarihi bir camidir. Zağnos Paşa tarafından 1461 yılında yaptırılmıştır. Osmanlı döneminin önemli yapılarından biridir ve Balıkesir'in sembol yapılarından biri olarak kabul edilir.",Zağnos Pasha Mosque is a historical mosque located in Balıkesir. It was built in 1461 by Zağnos Pasha. It is one of the important structures of the Ottoman period and is considered one of the symbolic structures of Balıkesir.,24/7,FALSE,,,FALSE,Cultural Property,Wikipedia,https://tr.wikipedia.org/wiki/Za%C4%9Fnos_Pa%C5%9Fa_Camii,2025-12-18,27.8879156,39.6372677
TR-Balikesir-0001,Balıkesir Saat Kulesi,Balıkesir Clock Tower,Historical Site,Clock Tower,Balıkesir,Karesi,Atatürk,"Atatürk, Milli Kuvvetler Cd. No:4, 10010 Karesi/Balıkesir",TR-WEST,"Balıkesir Saat Kulesi, Balıkesir'de bulunan tarihi bir saat kulesidir. 1901 yılında dönemin Mutasarrıfı Giritli Hasan Paşa tarafından yaptırılmıştır.","Balıkesir Clock Tower is a historical clock tower located in Balıkesir. It was built in 1901 by Hasan Pasha of Crete, the Mutasarrıf of the time.",24/7,FALSE,,,FALSE,Cultural Property,Wikipedia,https://tr.wikipedia.org/wiki/Bal%C4%B1kesir_Saat_Kulesi,2025-12-18,27.8830711,39.6478264
TR-Balikesir-0001,Cunda Adası (Alibey Adası),Cunda Island (Alibey Island),Natural,Island,Balıkesir,Ayvalık,Cunda,"Cunda Adası, Ayvalık, Balıkesir, Türkiye",TR-WEST,"Cunda Adası, Türkiye'nin Ayvalık ilçesine bağlı bir adadır. Ayvalık Adaları olarak da bilinen takımadanın en büyük dördüncü adasıdır. Sahip olduğu tarihi taş evleri, Arnavut kaldırımlı sokakları ve doğal güzellikleriyle ünlüdür.","Cunda Island, also known as Alibey Island, is an island located in the Ayvalık district of Balıkesir, Turkey. It is the fourth largest island in the archipelago, also known as the Ayvalık Islands. It is famous for its historical stone houses, cobblestone streets, and natural beauties.",24/7,FALSE,,,FALSE,Natural Protected Area,Wikipedia,https://tr.wikipedia.org/wiki/Cunda_Adas%C4%B1,2025-12-18,26.692387,39.319185
