id,name_tr,name_en,category,sub_category,city,district,neighbourhood,address,region_id,summary_tr,summary_en,opening_hours,ticket_required,website,main_image_url,is_unesco,protection_status,source_name,source_url,last_update,lon,lat
TR-00001,Adana Ulu Camii,Adana Grand Mosque,Religious Site,Mosque,Adana,Seyhan,Ulucami,"Ulucami Mahallesi, Abidin Dino Cd. No:1, 01010 Seyhan/Adana",TR-EAST,"Adana Ulu Camii, Adana'da yer alan tarihi bir camidir. Cami, Ramazanoğulları Beyliği döneminde 16. yüzyılda Halil Bey tarafından yaptırılmıştır. Selçuklu ve Memluklu mimarisinden izler taşır.","The Grand Mosque is a 16th-century mosque in Adana, Turkey. It is part of a complex (külliye) that includes a madrasah and a mausoleum. It was built by Halil Bey during the Ramazanoglu period, featuring Seljuk and Mamluk architectural influences.",Açık,FALSE,,,FALSE,,"Wikipedia, Muze.gov.tr",https://en.wikipedia.org/wiki/Great_Mosque_of_Adana,2023-10-26,35.326944,36.984167
TR-00002,Ağrı Dağı Kültürel Peyzajı,Mount Ararat Cultural Landscape,Doğal ve Kültürel Miras,Dağ ve Kültürel Peyzaj,Ağrı,Doğubayazıt,,"Doğubayazıt, Ağrı, Türkiye",TR-EAST,"Ağrı Dağı, Türkiye'nin en yüksek dağıdır ve hem doğal güzellikleri hem de kültürel önemiyle dikkat çeker. Bölge, çeşitli medeniyetlere ev sahipliği yapmış olup, efsanelere konu olmuştur. Özellikle Nuh'un Gemisi efsanesiyle ilişkilendirilir.","Mount Ararat is the highest mountain in Turkey and is notable for its natural beauty and cultural significance. The region has been home to various civilizations and is the subject of legends, particularly associated with the legend of Noah's Ark.",,FALSE,,,FALSE,Doğal Sit Alanı,"Wikipedia, Unesco, Muze.gov.tr",https://tr.wikipedia.org/wiki/A%C4%9Fr%C4%B1_Da%C4%9F%C4%B1,2023-10-26,43.0049,39.7032
TR-00003,Ahlat Selçuklu Mezarlığı,Ahlat Seljuk Cemetery,Mezarlık,Selçuklu Mezarlığı,Bitlis,Ahlat,,,TR-EAST,"Ahlat Selçuklu Mezarlığı, Türkiye'nin Bitlis ilinin Ahlat ilçesinde bulunan tarihi bir mezarlıktır. UNESCO Dünya Mirası Geçici Listesi'ndedir.","The Ahlat Seljuk Cemetery is a historical cemetery located in the Ahlat district of Bitlis, Turkey. It is on the UNESCO World Heritage Tentative List.",,FALSE,,,TRUE,,"Wikipedia, Unesco, Muze.gov.tr",https://whc.unesco.org/en/tentativelists/5942/,2023-10-26,42.090556,38.7575
TR-00004,Akdamar Kilisesi,Akdamar Church,Tarihi ve Dini Yapı,Kilise,Van,Gevaş,,"Akdamar Adası, Gevaş, Van, Türkiye",TR-EAST,"Akdamar Kilisesi, Van Gölü'ndeki Akdamar Adası'nda yer alan bir Ermeni kilisesidir. 10. yüzyılda inşa edilmiştir ve mimari açıdan önemlidir. Hristiyanlık için önemi büyüktür.",Akdamar Church is an Armenian church located on Akdamar Island in Lake Van. It was built in the 10th century and is architecturally significant. It is of great importance to Christianity.,08:00-19:00,TRUE,,,TRUE,Koruma Altında,"Wikipedia, Unesco, Muze.gov.tr",https://muze.gov.tr/muze-detay?SectionId=AKD01&DistId=AKD,2023-10-26,43.044444,43.116667
TR-00005,Altıntepe Urartu Kenti,Altintepe Urartu City,Arkeolojik Sit Alanı,Urartu Kenti,Erzincan,Üzümlü,Altıntepe Köyü,"Altıntepe Köyü, Üzümlü, Erzincan",TR-EAST,"Altıntepe, Erzincan Ovası'na hakim bir tepe üzerinde kurulmuş bir Urartu kentidir. MÖ 9. yüzyılda inşa edilmiş ve MÖ 7. yüzyıla kadar kullanılmıştır. Kazılarda tapınak, saray, surlar ve mezarlar ortaya çıkarılmıştır.","Altıntepe is an Urartian city built on a hill dominating the Erzincan Plain. It was built in the 9th century BC and used until the 7th century BC. A temple, palace, walls and tombs have been unearthed during excavations.",08:00-19:00,TRUE,,,FALSE,Tescilli Arkeolojik Sit Alanı,"Wikipedia, Unesco, Muze.gov.tr",https://muze.gov.tr/muze-detay?SectionId=ALT01&PlaceId=3679,2023-10-26,39.866667,39.683333
TR-00006,Anavarza Antik Kenti,Anavarza Ancient City,Antik Kent,Arkeolojik Alan,Adana,Kozan,Dilekkaya,,TR-EAST,"Anavarza (Anazarbus), Kilikya bölgesinde yer alan antik bir kenttir. Roma döneminde önemli bir merkez olmuş ve daha sonra Bizans döneminde de varlığını sürdürmüştür. Kent, özellikle zafer takı, sütunlu cadde, hamam, tiyatro ve stadyumu ile tanınır. Ayrıca, Orta Çağ'da inşa edilmiş olan Anavarza Kalesi de önemli bir yapıdır.","Anavarza (Anazarbus) was an ancient city located in the Cilicia region. It was an important center during the Roman period and continued its existence in the Byzantine period. The city is known for its triumphal arch, colonnaded street, bath, theater, and stadium. In addition, Anavarza Castle, built in the Middle Ages, is also an important structure.",,TRUE,,,TRUE,,"Wikipedia, Unesco, Muze.gov.tr",https://muze.gov.tr/muze-detay?SectionId=ADA01&DistId=ADA,2023-10-26,35.485278,37.466667
TR-00007,Andriake Antik Kenti,Andriake Ancient City,Antik Kent,Liman Kenti,Antalya,Demre,Gökyazı,"Gökyazı Mahallesi, Demre, Antalya, Türkiye",TR-EAST,"Andriake, Antalya'nın Demre ilçesinde bulunan antik bir liman kentidir. Likya uygarlığının önemli merkezlerinden biri olmuştur. Günümüzde müze ve ören yeri olarak ziyaret edilebilmektedir.","Andriake was an ancient harbor city located in Demre, Antalya. It was one of the important centers of the Lycian civilization. Today, it can be visited as a museum and ancient site.",08:00-17:30,TRUE,,,FALSE,Sit Alanı,"Wikipedia, Unesco, Muze.gov.tr",https://muze.gov.tr/muze-detay?SectionId=ANT01&DistId=ANT,2023-10-26,29.641667,36.243611
TR-00008,Ani Antik Kenti,Ancient City of Ani,Antik Kent,Arkeolojik Sit Alanı,Kars,Merkez,Ocaklı Köyü,"Ani Ören Yeri, Ocaklı Köyü, Kars Merkez",TR-EAST,"Ani, Türkiye-Ermenistan sınırında yer alan, Orta Çağ'dan kalma bir antik şehirdir. Bir zamanlar Bagratlı Ermenistan Krallığı'nın başkenti olan Ani, günümüzde terkedilmiş ve harabe halindedir. UNESCO Dünya Mirası Listesi'ndedir.","Ani is a ruined medieval Armenian city situated in the Turkish province of Kars, near the closed border with Armenia. It was once the capital of the Bagratid Armenian kingdom and is now a deserted, ruined site. It is a UNESCO World Heritage Site.",08:00-19:00,TRUE,,,TRUE,SİT Alanı,"Wikipedia, Unesco, Muze.gov.tr","https://whc.unesco.org/en/list/1518/, https://muze.gov.tr/muze-detay?SectionId=ANI01&DistId=ANI",2023-10-26,43.5725,40.505833
TR-00009,Antakya Mozaik Müzesi,Antakya Mosaic Museum,Müze,Mozaik Müzesi,Hatay,Antakya,Güllübahçe,"Güllübahçe Mahallesi, Vali Göbeği Sokak, No: 2, Antakya, Hatay",TR-EAST,"Antakya Mozaik Müzesi, Türkiye'nin Hatay ilinin Antakya ilçesinde bulunan ve dünyanın en önemli mozaik koleksiyonlarından birine sahip olan müzedir. Roma ve Bizans dönemlerine ait mozaikler sergilenmektedir.","The Antakya Mosaic Museum is an archeology museum located in Antakya, Turkey that houses one of the largest collections of Roman mosaics in the world.",08:00-17:30,TRUE,,,FALSE,,"Wikipedia, Unesco, Muze.gov.tr",https://muze.gov.tr/muze-detay?SectionId=ANT01&DistId=ANT,2023-10-26,36.205833,36.195
TR-00010,Arak Manastırı,Arak Monastery,Manastır,Hristiyanlık,Van,Gevaş,,,TR-EAST,"Arak Manastırı, Van'ın Gevaş ilçesinde bulunan tarihi bir Ermeni manastırıdır. Manastırın ne zaman inşa edildiği kesin olarak bilinmemekle birlikte, 11. yüzyılda yapıldığı tahmin edilmektedir. Manastır, Van Gölü'ne hakim bir tepe üzerinde yer almaktadır.","Arak Monastery is a historical Armenian monastery located in the Gevaş district of Van. Although it is not known exactly when the monastery was built, it is estimated to have been built in the 11th century. The monastery is located on a hill overlooking Lake Van.",,FALSE,,,FALSE,,"Wikipedia, Unesco, Muze.gov.tr",https://www.muze.gov.tr/,2023-11-19,43.445833,42.988889
